key_2,report_year,comp_name,sec_code,badflag_m4,Finanomalies142,Leverage9,Finanomalies122,Finanomalies101,Finanomalies100,Finanomalies97,Finanomalies112,Finanomalies5,Finanomalies1,Finanomalies32,Finanomalies87,Finanomalies61
国投中鲁果汁股份有限公司_20201231,2020,国投中鲁果汁股份有限公司,C,0,0.6714103359999999,0.0469915829999999,0.01001631,13.97732568,0.141021011,0.0,0.001585385,0.139119969,0.016162741,0.007752506,0.0,0.207838732
四川西部资源控股股份有限公司_20201231,2020,四川西部资源控股股份有限公司,C,0,5.34e-05,0.00055407,0.582588063,0.0,0.318704658,2.995156574,0.0,0.00048397,0.075678777,0.011611741,-0.231864976,0.4119524539999999
哈尔滨东安汽车动力股份有限公司_20201231,2020,哈尔滨东安汽车动力股份有限公司,C,0,0.0,0.360381281,0.044829884,31.24183214,1.593325385,0.0,0.008370022,0.425190506,0.0044058909999999,0.00423947,0.398983498,0.130056852
海南普利制药股份有限公司_20201231,2020,海南普利制药股份有限公司,C,0,0.837323149,0.181315763,0.1170845859999999,2.129250277,0.936841095,-0.2747012339999999,0.334625081,0.195786522,0.077570764,0.008388115,1.378619298,0.7996784309999999
珠海赛隆药业股份有限公司_20201231,2020,珠海赛隆药业股份有限公司,C,0,0.5071314610000001,0.284200347,0.079345165,2.292332706,0.483793591,2.11200089,0.0803252,0.075580369,0.0916014719999999,0.024548639,-268.97278989999995,0.612377586
中国铝业股份有限公司_20201231,2020,中国铝业股份有限公司,C,0,0.089859707,0.080602437,0.122679504,0.0,0.125652898,0.497947971,0.019819541,0.0243558439999999,0.005851864,0.008607771,0.154248966,0.08038404
深圳市德方纳米科技股份有限公司_20201231,2020,深圳市德方纳米科技股份有限公司,C,0,0.218260443,0.279327481,0.040439161,1.791350211,3.503116264,0.210759633,0.178224889,0.068987657,0.078526165,0.007473728,-0.408291511,0.2092709489999999
江苏鹿港文化股份有限公司_20201231,2020,江苏鹿港文化股份有限公司,C,0,1.008487116,0.1868521839999999,0.037387084,0.0,0.42683479,0.063579954,0.0001932879999999,0.134766112,0.020270998,0.007042909,0.0,0.150817149
浙江金海环境技术股份有限公司_20201231,2020,浙江金海环境技术股份有限公司,C,0,0.7179845,0.24401082,0.03533095,1.630232386,2.2873407930000003,2.009680731,0.004742324,0.147499408,0.043650441,0.006813852,0.760504308,0.329451356
山东海化股份有限公司_20201231,2020,山东海化股份有限公司,C,0,0.975355742,0.4660471229999999,0.057067993,5.269074875,0.0,0.616719182,0.007237988,0.0029237079999999,0.023223939,0.01578429,0.0,0.155273092
深圳市英可瑞科技股份有限公司_20201231,2020,深圳市英可瑞科技股份有限公司,C,0,0.8428400709999999,0.353639822,0.171756123,0.60289315,7.424908647,-0.136687217,0.174156743,0.231285082,0.068977637,0.003571749,0.374385051,0.372785082
青岛国林环保科技股份有限公司_20201231,2020,青岛国林环保科技股份有限公司,C,0,0.986483538,0.386017061,0.009247386,0.718055393,9.061740409,0.8099890809999999,0.042283065,0.1855719489999999,0.037962415,0.011730351,1.293921237,0.419251356
赛摩电气股份有限公司_20201231,2020,赛摩电气股份有限公司,C,0,0.457314846,0.3390224979999999,0.023860276,1.3784453630000002,0.76893312,0.988165653,0.003312653,0.343421498,0.076083604,0.010106661,97.62815946,0.416247359
福建雪人股份有限公司_20201231,2020,福建雪人股份有限公司,C,0,0.36899928,0.148216966,0.021785449,6.109509851,0.304570158,0.477938944,0.000741427,0.17291256,0.096272444,0.007885698,-1.5427543890000002,0.228450655
浪潮电子信息产业股份有限公司_20201231,2020,浪潮电子信息产业股份有限公司,C,0,0.915854964,0.426121894,0.0056489359999999,4.78349069,2.890705625,-0.486868127,0.000461518,0.214163315,0.005387035,0.0014537379999999,0.74810036,0.117996698
浙江京华激光科技股份有限公司_20201231,2020,浙江京华激光科技股份有限公司,C,0,0.6439869979999999,0.589082463,0.045146424,1.461635605,0.0,0.388759718,0.000585184,0.186683911,0.0153043219999999,0.006239341,1.13580504,0.324859851
北京鼎汉技术集团股份有限公司_20201231,2020,北京鼎汉技术集团股份有限公司,C,0,0.413738554,0.190472188,0.023288759,1.961352576,0.318944615,-0.013493359,0.001085604,0.3539733379999999,0.089589316,0.009942735,-9.912366649,0.343266161
神州高铁技术股份有限公司_20201231,2020,神州高铁技术股份有限公司,C,0,0.071945274,0.154298467,0.013815866,1.204280263,0.184129871,-0.47743802,0.00245729,0.263067708,0.163421356,0.008635485,-1.6475473319999998,0.474251154
北京金一文化发展股份有限公司_20201231,2020,北京金一文化发展股份有限公司,C,0,0.3569568429999999,0.046927084,0.006510981,1.655319596,0.067275234,-0.341381235,0.0,0.308418353,0.0255499439999999,0.00483361,0.0,0.101922135
重庆正川医药包装材料股份有限公司_20201231,2020,重庆正川医药包装材料股份有限公司,C,0,0.902997191,0.436131174,0.025866366,1.300368079,5.414988666,-0.736591795,0.189613266,0.085155598,0.136707583,0.01624796,0.508140806,0.289910402
三变科技股份有限公司_20201231,2020,三变科技股份有限公司,C,0,1.0,0.2411254239999999,0.029097346,8.16245684,0.085452454,-0.662246008,0.005656264,0.3642279229999999,0.267395731,0.00494066,0.0,0.160797406
东方日升新能源股份有限公司_20201231,2020,东方日升新能源股份有限公司,C,0,0.669729269,0.221008547,0.010423776,0.0,0.622391323,-0.109275497,0.04731073,0.134207782,0.070157694,0.005549958,0.607406284,0.180344068
四川宏达股份有限公司_20201231,2020,四川宏达股份有限公司,C,0,0.965674071,0.07862847,0.485460715,0.0,0.2206521739999999,-0.154737611,0.018371572,0.01534013,0.014198825,0.006336565,0.0,0.1139295819999999
广州市浪奇实业股份有限公司_20201231,2020,广州市浪奇实业股份有限公司,C,0,0.476752712,0.07310883,0.1068978719999999,0.0,0.237864617,0.192638215,0.075957868,0.118735355,0.155784454,0.004167655,0.0,0.046257343
日播时尚集团股份有限公司_20201231,2020,日播时尚集团股份有限公司,C,0,0.768735378,0.47170226,0.173662736,2.792195211,0.0,-1.0,0.096322906,0.040120292,0.063469031,0.007774857,-1.026981548,0.593660568
深圳市证通电子股份有限公司_20201231,2020,深圳市证通电子股份有限公司,C,0,0.989907807,0.134958483,0.009160558,1.846473349,0.164937417,0.238691889,0.139565446,0.239183087,0.063159815,0.007920136,0.042043356,0.2709907019999999
